region,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
california,2482,no,basic,bachelor,1/19/11,unemployed,m,49388,suburban,single,71,13,50,0,1,personal auto,personal l2,offer1,call center,511,four-door car,medsize
california,2497,no,basic,high school or below,2/12/11,employed,m,29465,suburban,married,63,6,9,0,1,personal auto,personal l2,offer2,call center,302,four-door car,medsize
california,7748,no,basic,bachelor,1/20/11,employed,m,79528,urban,married,64,2,39,0,2,personal auto,personal l2,offer2,agent,175,two-door car,medsize
oregon,25169,no,extended,master,2/4/11,employed,m,37282,urban,married,79,1,49,0,2,personal auto,personal l3,offer2,branch,222,four-door car,small
california,4832,no,extended,high school or below,1/18/11,unemployed,m,93695,suburban,single,139,6,9,0,1,personal auto,personal l2,offer1,call center,1000,suv,medsize
arizona,3703,no,extended,high school or below,2/9/11,employed,f,23120,suburban,married,93,5,87,0,1,personal auto,personal l3,offer3,agent,446,four-door car,medsize
nevada,12023,no,basic,high school or below,1/24/11,medical leave,m,28879,suburban,married,106,6,9,0,2,personal auto,personal l3,offer2,web,763,sports car,medsize
arizona,5237,no,extended,college,1/19/11,employed,f,33554,suburban,married,131,25,36,0,1,special auto,special l2,offer1,agent,934,suv,medsize
california,6612,no,premium,high school or below,2/14/11,employed,m,28792,suburban,single,185,34,20,3,1,corporate auto,corporate l1,offer4,web,1166,sports car,small
nevada,7992,no,basic,college,1/21/11,employed,f,35434,urban,married,66,19,26,0,2,personal auto,personal l2,offer2,agent,297,four-door car,medsize
arizona,6289,no,extended,bachelor,1/8/11,employed,m,40675,suburban,married,81,30,15,2,5,personal auto,personal l2,offer1,call center,563,four-door car,small
california,5099,no,basic,bachelor,2/12/11,unemployed,f,64116,suburban,married,70,28,77,1,3,personal auto,personal l1,offer1,branch,336,two-door car,small
california,2556,no,basic,bachelor,1/2/11,unemployed,m,65799,suburban,single,71,17,22,0,1,corporate auto,corporate l2,offer1,agent,340,four-door car,medsize
oregon,5619,yes,premium,high school or below,1/26/11,unemployed,m,59326,suburban,married,153,25,5,0,1,personal auto,personal l1,offer2,web,1027,suv,medsize
california,2787,no,basic,bachelor,1/26/11,employed,m,38667,rural,single,72,8,67,0,1,personal auto,personal l3,offer1,agent,159,four-door car,medsize
nevada,9624,no,extended,college,1/30/11,unemployed,m,72195,suburban,single,134,26,88,0,4,personal auto,personal l2,offer2,agent,964,suv,medsize
california,6269,no,extended,college,1/10/11,employed,f,61040,suburban,married,78,21,9,0,9,personal auto,personal l3,offer2,web,391,two-door car,medsize
washington,4566,no,basic,bachelor,2/8/11,unemployed,m,89568,suburban,single,68,19,53,0,3,personal auto,personal l3,offer1,agent,326,four-door car,medsize
california,6158,no,basic,college,1/2/11,unemployed,m,70500,suburban,single,67,20,29,2,2,personal auto,personal l3,offer1,agent,321,four-door car,medsize
washington,5097,no,basic,college,2/14/11,unemployed,f,30314,suburban,single,74,3,95,0,7,personal auto,personal l3,offer3,web,532,two-door car,medsize
nevada,9129,no,basic,bachelor,2/27/11,employed,f,70973,suburban,divorced,114,6,24,1,3,personal auto,personal l2,offer1,agent,547,suv,small
arizona,5575,no,basic,high school or below,1/26/11,employed,m,91416,rural,married,69,4,39,0,5,personal auto,personal l3,offer2,call center,109,four-door car,medsize
nevada,11085,no,extended,bachelor,1/20/11,employed,m,69090,urban,married,139,24,11,0,5,personal auto,personal l3,offer1,agent,387,sports car,medsize
california,13466,yes,basic,high school or below,2/23/11,disabled,f,11432,suburban,married,119,11,9,0,2,corporate auto,corporate l3,offer2,agent,571,four-door car,medsize
nevada,4196,no,basic,high school or below,2/15/11,unemployed,m,23627,suburban,single,64,35,75,1,7,personal auto,personal l1,offer3,call center,774,two-door car,medsize
california,6889,no,extended,bachelor,1/16/11,employed,f,33786,rural,divorced,89,15,94,1,3,personal auto,personal l2,offer1,call center,75,two-door car,large
california,11280,no,extended,college,2/19/11,employed,m,45743,suburban,married,96,15,81,0,2,personal auto,personal l3,offer1,agent,673,four-door car,medsize
nevada,5739,no,extended,college,1/14/11,unemployed,m,58301,suburban,single,80,27,88,0,3,personal auto,personal l2,offer2,agent,848,four-door car,medsize
california,5680,no,basic,college,2/5/11,employed,m,82255,rural,married,71,29,59,0,5,personal auto,personal l2,offer1,branch,145,four-door car,medsize
arizona,8048,no,basic,college,1/20/11,unemployed,f,74457,suburban,single,116,24,90,0,9,personal auto,personal l3,offer2,branch,1339,suv,medsize
oregon,5339,no,basic,doctor,2/25/11,employed,f,84424,urban,married,66,18,71,0,9,personal auto,personal l2,offer2,call center,231,four-door car,medsize
california,4128,no,basic,bachelor,1/15/11,employed,f,95891,rural,married,102,3,13,0,1,corporate auto,corporate l1,offer1,agent,34,suv,medsize
nevada,8253,no,basic,high school or below,1/31/11,employed,f,62375,urban,married,103,35,71,1,3,personal auto,personal l3,offer4,web,411,suv,small
washington,7859,no,basic,high school or below,1/1/11,unemployed,m,66695,suburban,single,113,19,10,0,7,personal auto,personal l1,offer1,branch,813,suv,medsize
nevada,5763,no,extended,bachelor,2/10/11,employed,m,31725,rural,single,76,31,9,0,5,personal auto,personal l2,offer1,agent,177,two-door car,medsize
california,2867,no,extended,bachelor,1/3/11,retired,f,23376,suburban,divorced,78,19,18,0,1,personal auto,personal l3,offer2,call center,374,four-door car,medsize
arizona,8355,no,premium,master,2/11/11,employed,m,49564,suburban,divorced,105,8,29,0,5,corporate auto,corporate l1,offer3,web,661,four-door car,small
washington,5206,no,basic,bachelor,2/11/11,employed,m,94392,rural,married,65,19,89,0,8,personal auto,personal l3,offer1,call center,156,four-door car,small
arizona,4351,no,premium,high school or below,2/9/11,employed,f,74163,suburban,married,108,3,63,0,1,personal auto,personal l1,offer4,agent,518,four-door car,small
nevada,10097,no,extended,high school or below,2/19/11,employed,f,48999,suburban,married,86,6,65,3,2,corporate auto,corporate l3,offer1,web,412,four-door car,medsize
california,5678,yes,extended,bachelor,1/19/11,unemployed,f,49069,suburban,married,76,8,44,0,3,personal auto,personal l2,offer2,agent,364,four-door car,small
arizona,15739,no,extended,master,2/22/11,employed,f,48096,urban,married,131,10,3,0,2,personal auto,personal l1,offer2,call center,450,two-door car,medsize
washington,19338,no,basic,college,2/2/11,employed,f,22784,urban,married,70,11,68,0,2,personal auto,personal l2,offer2,agent,224,four-door car,medsize
arizona,13160,no,basic,college,1/18/11,employed,f,94125,urban,married,109,33,21,0,2,personal auto,personal l2,offer2,call center,341,suv,medsize
oregon,8689,no,extended,master,2/8/11,unemployed,m,49315,suburban,divorced,99,25,57,5,2,personal auto,personal l2,offer1,agent,475,four-door car,medsize
arizona,5641,no,basic,bachelor,2/1/11,employed,m,39469,urban,divorced,71,1,29,0,4,personal auto,personal l3,offer2,call center,315,two-door car,large
california,5354,no,basic,bachelor,1/12/11,employed,m,29445,suburban,married,68,0,31,0,9,personal auto,personal l3,offer3,call center,334,four-door car,medsize
oregon,8930,no,extended,high school or below,2/23/11,unemployed,m,72616,suburban,married,82,25,63,0,2,personal auto,personal l1,offer4,call center,554,four-door car,medsize
oregon,6661,no,premium,college,1/31/11,employed,m,55663,rural,married,166,19,63,0,1,personal auto,personal l2,offer2,branch,194,suv,large
oregon,12687,no,basic,college,2/7/11,employed,f,63918,suburban,single,64,4,14,0,2,personal auto,personal l1,offer3,agent,307,four-door car,small
washington,6692,no,premium,high school or below,2/16/11,employed,m,63221,suburban,married,168,8,49,0,1,corporate auto,corporate l3,offer3,agent,806,suv,medsize
nevada,18572,no,basic,high school or below,2/16/11,employed,f,51294,rural,married,116,19,45,0,2,corporate auto,corporate l3,offer2,web,113,suv,medsize
oregon,5278,no,basic,master,1/31/11,employed,f,29899,suburban,married,66,21,31,0,3,personal auto,personal l3,offer2,agent,419,four-door car,small
washington,6252,no,extended,master,2/13/11,employed,f,92895,rural,married,77,5,2,0,7,personal auto,personal l2,offer2,call center,43,four-door car,medsize
california,2877,no,basic,high school or below,1/30/11,employed,m,32807,suburban,married,73,10,10,0,1,personal auto,personal l2,offer2,call center,350,four-door car,small
california,5382,no,basic,bachelor,1/24/11,employed,f,74888,suburban,married,68,19,36,3,7,personal auto,personal l3,offer3,call center,335,two-door car,small
arizona,3618,no,extended,high school or below,2/14/11,employed,m,50755,suburban,married,91,21,25,0,1,personal auto,personal l3,offer4,agent,436,sports car,large
arizona,12552,no,basic,high school or below,1/27/11,disabled,m,10147,suburban,married,67,15,52,0,2,personal auto,personal l3,offer4,branch,459,four-door car,medsize
arizona,3185,no,extended,high school or below,2/20/11,medical leave,m,13512,suburban,single,92,14,24,0,1,personal auto,personal l3,offer4,call center,441,two-door car,medsize
california,7334,no,basic,college,1/29/11,employed,f,87957,suburban,divorced,61,31,63,0,2,personal auto,personal l3,offer3,agent,308,four-door car,small
washington,3479,no,extended,college,2/15/11,employed,f,66711,urban,married,86,25,92,0,1,corporate auto,corporate l2,offer1,call center,366,two-door car,small
oregon,7285,yes,basic,high school or below,2/28/11,employed,m,44788,suburban,married,61,6,48,0,2,personal auto,personal l2,offer2,agent,386,four-door car,small
california,13422,no,basic,college,2/5/11,employed,f,65024,urban,married,67,17,15,0,2,personal auto,personal l2,offer2,call center,189,four-door car,medsize
nevada,5237,no,basic,college,1/25/11,employed,f,31756,rural,married,66,34,44,0,8,corporate auto,corporate l1,offer1,branch,160,four-door car,medsize
oregon,8496,no,basic,bachelor,1/30/11,employed,f,88895,rural,divorced,106,0,87,0,8,personal auto,personal l1,offer1,branch,209,sports car,medsize
california,4087,no,basic,college,2/15/11,employed,m,24123,suburban,married,104,7,61,0,1,personal auto,personal l3,offer4,branch,748,suv,medsize
california,16702,no,basic,college,1/17/11,unemployed,m,21847,suburban,single,72,34,46,0,2,special auto,special l3,offer1,agent,345,four-door car,medsize
oregon,2839,no,basic,high school or below,2/4/11,employed,m,71460,rural,married,74,11,77,5,1,personal auto,personal l3,offer2,call center,93,four-door car,medsize
arizona,5029,no,extended,high school or below,2/4/11,unemployed,f,86345,suburban,married,133,3,89,0,1,personal auto,personal l3,offer1,agent,795,sports car,small
nevada,2717,no,basic,master,1/21/11,employed,m,66463,suburban,married,68,28,80,0,1,personal auto,personal l3,offer2,agent,326,two-door car,small
oregon,2945,no,basic,college,2/28/11,employed,m,89410,rural,divorced,74,11,50,0,1,personal auto,personal l2,offer2,agent,95,four-door car,medsize
nevada,20446,no,extended,college,2/11/11,employed,m,71467,urban,divorced,86,5,34,0,2,personal auto,personal l2,offer3,branch,324,two-door car,medsize
washington,30061,no,extended,high school or below,1/29/11,employed,m,48258,suburban,married,249,12,86,0,2,personal auto,personal l1,offer1,branch,1195,luxury car,medsize
arizona,10373,no,extended,college,1/2/11,employed,f,62587,suburban,married,86,30,47,0,2,personal auto,personal l1,offer2,branch,412,four-door car,medsize
oregon,16798,no,basic,high school or below,2/16/11,employed,m,55269,suburban,divorced,71,32,15,0,2,personal auto,personal l3,offer1,agent,340,two-door car,medsize
arizona,7341,no,extended,college,2/27/11,employed,f,88049,suburban,single,92,5,38,0,8,corporate auto,corporate l1,offer1,branch,567,two-door car,medsize
arizona,3713,no,extended,college,1/4/11,employed,f,81190,urban,married,92,9,87,0,1,corporate auto,corporate l3,offer2,web,356,two-door car,small
california,9802,no,extended,bachelor,1/7/11,employed,m,84429,rural,married,123,11,2,0,6,personal auto,personal l2,offer2,call center,115,suv,medsize
nevada,4686,yes,basic,college,2/12/11,employed,m,58089,suburban,married,118,31,83,0,1,personal auto,personal l3,offer1,agent,566,suv,medsize
arizona,5637,no,extended,bachelor,2/26/11,unemployed,m,55141,suburban,divorced,84,4,52,1,4,personal auto,personal l3,offer2,agent,403,four-door car,large
oregon,4078,no,basic,college,1/7/11,unemployed,f,50088,suburban,single,116,26,86,4,1,personal auto,personal l1,offer1,agent,835,sports car,medsize
california,8329,no,basic,high school or below,1/19/11,employed,f,30865,rural,married,104,33,31,0,7,personal auto,personal l3,offer1,web,21,suv,medsize
california,4083,no,basic,college,2/11/11,disabled,f,13483,suburban,married,107,9,60,0,1,personal auto,personal l3,offer1,branch,556,suv,medsize
california,2971,no,extended,bachelor,1/31/11,employed,f,83873,urban,single,76,5,36,1,1,personal auto,personal l2,offer3,branch,218,two-door car,medsize
oregon,11039,no,basic,high school or below,1/3/11,unemployed,m,23455,suburban,married,103,4,67,0,2,special auto,special l3,offer2,call center,1149,suv,medsize
oregon,14158,no,basic,bachelor,2/26/11,employed,f,83235,suburban,married,70,16,33,0,2,personal auto,personal l3,offer2,agent,336,two-door car,medsize
california,7031,no,extended,high school or below,1/25/11,employed,f,26255,rural,married,88,21,4,0,3,personal auto,personal l1,offer1,branch,52,four-door car,medsize
oregon,4746,no,premium,college,1/2/11,employed,f,54050,suburban,married,119,5,15,0,1,personal auto,personal l2,offer3,call center,571,two-door car,large
arizona,26223,no,basic,high school or below,1/7/11,unemployed,m,11002,suburban,single,115,22,15,1,2,corporate auto,corporate l3,offer1,call center,828,suv,medsize
oregon,4670,no,extended,doctor,2/25/11,unemployed,m,24758,suburban,married,125,21,34,0,1,corporate auto,corporate l3,offer1,branch,600,suv,medsize
oregon,4015,no,basic,bachelor,1/17/11,employed,m,80055,rural,married,100,30,83,0,1,corporate auto,corporate l2,offer1,branch,121,suv,medsize
california,5341,no,basic,high school or below,1/1/11,unemployed,f,35733,suburban,married,72,4,11,1,7,personal auto,personal l2,offer1,branch,345,four-door car,medsize
california,7234,no,extended,bachelor,2/24/11,employed,f,86448,rural,married,90,25,79,0,6,personal auto,personal l3,offer3,agent,59,four-door car,medsize
oregon,35227,no,premium,high school or below,2/8/11,employed,f,23031,suburban,married,148,26,76,0,2,special auto,special l3,offer4,web,710,suv,medsize
arizona,7247,no,basic,high school or below,1/16/11,employed,m,86122,suburban,married,182,33,54,1,1,personal auto,personal l2,offer2,agent,873,luxury suv,small
california,2581,no,basic,high school or below,2/6/11,employed,m,29757,suburban,married,65,1,55,0,1,personal auto,personal l2,offer2,web,312,four-door car,small
oregon,6511,no,extended,master,1/13/11,employed,m,42602,rural,married,85,7,75,3,3,personal auto,personal l3,offer2,agent,63,two-door car,medsize
california,20216,no,basic,high school or below,1/24/11,unemployed,m,44999,suburban,married,183,20,16,0,2,personal auto,personal l1,offer3,agent,878,luxury suv,large
california,4656,no,basic,college,1/31/11,employed,m,29070,suburban,married,61,8,99,2,3,personal auto,personal l2,offer3,call center,292,two-door car,small
california,6297,no,basic,bachelor,1/13/11,unemployed,m,35812,suburban,single,189,15,51,1,1,personal auto,personal l3,offer1,agent,1823,luxury car,medsize
arizona,2393,no,basic,high school or below,1/23/11,medical leave,f,28646,suburban,married,61,11,50,0,1,personal auto,personal l1,offer2,web,355,four-door car,small
oregon,8586,no,extended,bachelor,2/7/11,unemployed,f,74406,suburban,single,83,3,13,0,2,personal auto,personal l2,offer2,agent,483,four-door car,medsize
washington,2869,no,basic,bachelor,2/18/11,employed,f,70974,suburban,married,71,18,0,3,1,personal auto,personal l3,offer1,agent,340,four-door car,large
california,5830,no,extended,college,1/13/11,unemployed,f,14544,suburban,married,77,11,36,0,6,corporate auto,corporate l1,offer1,agent,783,four-door car,medsize
california,9294,no,basic,college,1/1/11,employed,m,67544,suburban,married,116,2,15,0,3,corporate auto,corporate l3,offer1,branch,556,suv,small
california,8596,no,basic,college,1/8/11,employed,f,25785,suburban,single,112,8,22,1,4,corporate auto,corporate l2,offer1,call center,537,suv,small
oregon,20885,no,extended,bachelor,1/23/11,medical leave,m,16113,suburban,married,81,27,19,0,2,corporate auto,corporate l2,offer2,web,494,four-door car,small
california,8356,no,basic,bachelor,1/13/11,unemployed,m,62652,rural,married,118,25,29,0,7,personal auto,personal l3,offer1,agent,153,suv,medsize
oregon,3561,no,extended,bachelor,2/28/11,unemployed,m,45891,suburban,single,99,35,15,0,1,special auto,special l2,offer1,agent,712,four-door car,medsize
california,2188,no,basic,college,1/9/11,unemployed,m,99199,suburban,single,67,4,49,0,1,personal auto,personal l3,offer3,branch,321,four-door car,medsize
washington,5035,no,basic,college,1/9/11,employed,m,72672,urban,married,63,7,39,0,5,personal auto,personal l2,offer2,call center,259,four-door car,large
oregon,11513,no,basic,bachelor,2/4/11,unemployed,f,26372,suburban,divorced,64,26,72,0,2,personal auto,personal l3,offer1,web,307,four-door car,medsize
oregon,4825,no,basic,high school or below,1/7/11,unemployed,m,46883,suburban,single,71,8,30,0,8,personal auto,personal l2,offer4,web,511,two-door car,medsize
nevada,8723,no,basic,master,1/3/11,employed,f,33291,rural,married,73,30,2,1,2,personal auto,personal l3,offer1,agent,172,four-door car,medsize
oregon,3538,no,basic,college,1/15/11,unemployed,f,42661,suburban,single,67,12,67,5,7,personal auto,personal l2,offer4,call center,321,four-door car,medsize
oregon,4716,no,basic,high school or below,2/25/11,employed,m,25746,suburban,married,61,0,84,1,3,corporate auto,corporate l3,offer2,agent,292,four-door car,medsize
california,3796,no,extended,college,1/17/11,employed,f,20217,suburban,married,96,16,30,2,1,personal auto,personal l1,offer2,web,513,four-door car,medsize
california,9075,yes,basic,master,1/26/11,employed,m,37722,rural,single,116,8,23,0,8,personal auto,personal l3,offer1,agent,158,sports car,medsize
oregon,5209,no,extended,high school or below,2/16/11,employed,f,37940,urban,married,129,11,36,0,1,special auto,special l3,offer1,branch,512,suv,medsize
california,7209,no,extended,high school or below,1/2/11,unemployed,f,44201,suburban,single,99,0,53,0,5,personal auto,personal l2,offer1,agent,715,four-door car,medsize
oregon,5325,yes,basic,high school or below,2/21/11,unemployed,m,19419,suburban,married,73,17,44,0,7,personal auto,personal l3,offer2,call center,496,two-door car,medsize
california,2637,no,basic,master,1/26/11,employed,m,50512,suburban,single,67,19,16,0,1,personal auto,personal l1,offer3,branch,351,four-door car,large
arizona,7785,no,basic,high school or below,1/25/11,employed,f,20497,suburban,married,65,17,94,0,2,personal auto,personal l2,offer4,branch,425,four-door car,small
california,2776,no,basic,college,2/8/11,employed,f,50985,urban,divorced,71,7,31,0,1,personal auto,personal l2,offer4,agent,307,two-door car,medsize
washington,5504,yes,basic,bachelor,2/8/11,unemployed,f,27876,suburban,married,73,21,45,1,5,corporate auto,corporate l3,offer1,call center,350,four-door car,medsize
oregon,19837,no,basic,master,2/24/11,unemployed,f,32644,suburban,married,67,22,0,1,2,personal auto,personal l1,offer1,branch,321,four-door car,medsize
california,7840,yes,extended,college,1/14/11,employed,m,58414,suburban,single,210,7,24,2,1,special auto,special l2,offer2,agent,1008,luxury suv,small
washington,6274,no,extended,bachelor,1/31/11,employed,f,68964,rural,married,78,15,6,0,3,personal auto,personal l3,offer3,web,115,four-door car,medsize
california,2845,no,basic,bachelor,2/7/11,employed,m,86631,suburban,divorced,73,7,44,1,1,personal auto,personal l2,offer3,agent,400,suv,small
oregon,11030,no,extended,college,1/10/11,employed,f,35773,suburban,married,93,25,89,0,2,personal auto,personal l3,offer1,web,446,four-door car,medsize
california,2396,yes,basic,bachelor,1/10/11,unemployed,f,60017,suburban,married,66,6,71,2,1,corporate auto,corporate l1,offer2,call center,433,four-door car,large
california,6425,no,basic,high school or below,1/19/11,unemployed,m,12512,suburban,single,181,13,16,0,1,personal auto,personal l3,offer1,web,1303,luxury car,small
arizona,9837,no,extended,high school or below,2/16/11,employed,f,55099,rural,divorced,122,33,86,0,3,corporate auto,corporate l3,offer2,branch,260,sports car,medsize
california,3624,no,extended,high school or below,1/10/11,employed,m,37843,urban,divorced,92,2,17,0,1,personal auto,personal l3,offer3,agent,354,four-door car,medsize
california,13045,no,premium,college,2/23/11,unemployed,f,18930,suburban,single,190,21,35,1,7,personal auto,personal l3,offer3,branch,1654,suv,medsize
california,2523,no,basic,college,2/24/11,medical leave,m,16244,suburban,married,68,4,85,0,1,personal auto,personal l3,offer4,call center,623,two-door car,medsize
oregon,14558,no,basic,high school or below,1/28/11,employed,m,40260,urban,married,73,20,20,0,2,personal auto,personal l1,offer4,web,299,four-door car,medsize
oregon,27064,no,premium,bachelor,2/19/11,employed,f,83560,rural,married,113,5,76,1,2,corporate auto,corporate l2,offer1,agent,276,four-door car,large
oregon,4430,no,basic,high school or below,1/7/11,employed,m,24059,suburban,married,112,31,17,0,1,personal auto,personal l3,offer4,web,537,suv,medsize
california,2311,no,basic,high school or below,1/18/11,unemployed,m,55842,suburban,single,68,0,45,0,1,personal auto,personal l2,offer2,web,489,four-door car,medsize
arizona,10090,no,extended,college,1/20/11,employed,f,97238,suburban,divorced,126,6,91,0,3,personal auto,personal l3,offer3,web,604,suv,medsize
california,4821,no,basic,college,1/24/11,employed,m,63391,rural,married,64,28,48,4,3,corporate auto,corporate l3,offer3,agent,119,four-door car,medsize
oregon,2648,no,basic,high school or below,1/22/11,disabled,f,26540,suburban,married,69,15,4,0,1,personal auto,personal l2,offer2,branch,378,four-door car,medsize
oregon,2317,no,basic,bachelor,1/16/11,unemployed,f,19521,suburban,single,68,10,81,0,1,corporate auto,corporate l2,offer1,call center,489,two-door car,medsize
california,15488,no,basic,bachelor,1/5/11,employed,m,33799,suburban,single,109,28,52,3,2,corporate auto,corporate l3,offer2,agent,664,suv,small
oregon,4101,no,premium,high school or below,1/5/11,unemployed,m,27524,suburban,single,115,1,34,0,1,personal auto,personal l1,offer1,branch,552,two-door car,medsize
arizona,3857,no,basic,high school or below,1/29/11,unemployed,m,24838,suburban,single,110,20,62,0,1,corporate auto,corporate l3,offer1,web,792,sports car,medsize
oregon,5420,no,basic,bachelor,2/23/11,employed,m,21881,rural,married,69,9,27,0,5,corporate auto,corporate l3,offer3,agent,133,four-door car,medsize
california,36632,no,extended,bachelor,1/21/11,employed,m,70908,urban,divorced,132,0,71,1,2,personal auto,personal l2,offer1,call center,521,suv,medsize
california,7183,no,basic,bachelor,1/9/11,medical leave,m,14390,suburban,single,65,16,4,0,2,personal auto,personal l2,offer1,agent,402,four-door car,medsize
california,3590,no,extended,college,1/9/11,employed,f,82918,rural,married,89,28,50,0,1,personal auto,personal l2,offer2,branch,29,two-door car,small
arizona,5181,no,basic,master,2/3/11,employed,f,97131,suburban,married,64,3,80,0,6,corporate auto,corporate l3,offer2,agent,307,four-door car,small
california,9159,no,premium,bachelor,2/26/11,employed,f,96331,urban,divorced,114,33,38,0,9,personal auto,personal l3,offer3,agent,491,two-door car,medsize
oregon,5759,no,basic,bachelor,1/28/11,employed,m,85448,rural,married,72,16,76,0,3,special auto,special l2,offer3,agent,16,four-door car,medsize
california,3861,no,extended,college,1/6/11,employed,f,93272,urban,married,95,3,54,0,1,personal auto,personal l3,offer2,branch,281,four-door car,medsize
arizona,14208,no,extended,high school or below,2/8/11,unemployed,f,64456,suburban,single,131,12,26,0,2,corporate auto,corporate l3,offer3,agent,943,suv,medsize
oregon,14476,no,extended,college,2/25/11,disabled,f,27572,suburban,married,124,24,57,3,2,corporate auto,corporate l3,offer3,branch,595,suv,medsize
california,5045,no,basic,high school or below,1/27/11,employed,m,28056,suburban,married,64,32,41,1,8,personal auto,personal l3,offer1,branch,307,four-door car,medsize
washington,5577,no,basic,doctor,1/17/11,disabled,m,11097,suburban,married,73,26,50,0,4,corporate auto,corporate l3,offer3,web,350,two-door car,small
arizona,2799,no,basic,high school or below,2/4/11,employed,f,65351,suburban,married,69,4,54,0,1,corporate auto,corporate l1,offer2,call center,481,four-door car,medsize
oregon,9120,no,basic,college,2/16/11,employed,f,63878,urban,married,113,32,47,0,9,personal auto,personal l3,offer3,call center,370,suv,small
california,8382,yes,basic,bachelor,1/27/11,employed,m,25998,suburban,married,71,16,38,0,2,personal auto,personal l1,offer2,call center,791,four-door car,medsize
california,5254,no,basic,college,1/19/11,employed,f,95017,suburban,married,65,5,36,0,3,personal auto,personal l3,offer2,web,324,four-door car,medsize
nevada,4909,no,basic,bachelor,2/28/11,employed,f,61402,urban,divorced,62,1,69,0,3,personal auto,personal l3,offer1,agent,252,two-door car,medsize
nevada,4064,no,basic,master,1/31/11,employed,f,26599,rural,married,101,24,83,0,1,personal auto,personal l2,offer1,web,254,four-door car,medsize
california,4940,no,basic,college,1/9/11,unemployed,f,46587,suburban,single,71,22,57,0,9,personal auto,personal l2,offer3,agent,511,four-door car,medsize
oregon,4953,no,extended,college,2/18/11,employed,f,21385,suburban,divorced,127,14,37,0,1,corporate auto,corporate l2,offer3,web,609,suv,large
arizona,3433,no,extended,master,2/8/11,employed,m,85367,rural,married,85,27,20,0,1,personal auto,personal l2,offer4,agent,67,four-door car,large
arizona,6940,no,extended,college,1/3/11,unemployed,m,61954,suburban,married,92,4,60,0,3,personal auto,personal l1,offer1,branch,441,two-door car,medsize
arizona,2755,no,basic,bachelor,1/7/11,employed,f,49648,rural,divorced,70,0,23,0,1,personal auto,personal l3,offer2,call center,65,four-door car,medsize
oregon,17103,no,basic,high school or below,1/28/11,employed,f,51747,suburban,married,71,8,71,0,2,personal auto,personal l3,offer2,web,340,four-door car,medsize
oregon,8417,no,basic,bachelor,1/25/11,employed,m,31756,urban,married,107,1,97,0,3,corporate auto,corporate l3,offer1,agent,415,suv,medsize
california,7591,no,extended,bachelor,1/15/11,employed,m,99359,rural,married,95,16,19,0,9,personal auto,personal l3,offer2,call center,233,two-door car,medsize
oregon,7457,no,basic,bachelor,1/5/11,unemployed,f,57378,suburban,single,69,15,73,0,2,personal auto,personal l1,offer1,call center,678,four-door car,small
california,2753,no,basic,high school or below,1/7/11,employed,f,28887,suburban,single,73,16,15,2,1,personal auto,personal l2,offer1,branch,425,four-door car,medsize
california,14635,yes,extended,bachelor,2/27/11,unemployed,f,68404,suburban,divorced,139,5,56,0,2,corporate auto,corporate l2,offer1,call center,667,suv,medsize
arizona,8129,no,basic,high school or below,2/26/11,unemployed,f,86606,suburban,divorced,119,3,11,1,8,personal auto,personal l3,offer2,branch,729,suv,large
california,12315,no,premium,high school or below,1/27/11,employed,m,68420,suburban,married,104,5,27,1,2,personal auto,personal l2,offer2,branch,499,four-door car,medsize
california,7244,no,basic,bachelor,1/16/11,unemployed,f,29276,suburban,single,103,1,51,0,3,personal auto,personal l1,offer2,agent,494,suv,small
oregon,7025,no,extended,college,1/23/11,employed,f,48117,suburban,married,88,4,51,0,3,corporate auto,corporate l3,offer3,agent,422,four-door car,medsize
oregon,18089,no,extended,master,2/15/11,employed,f,68568,suburban,married,223,5,28,1,6,personal auto,personal l3,offer4,branch,1070,luxury car,medsize
washington,6846,yes,extended,bachelor,1/27/11,unemployed,f,11217,suburban,divorced,95,13,20,0,5,personal auto,personal l2,offer1,call center,456,two-door car,large
oregon,7840,yes,extended,college,1/14/11,employed,m,58414,suburban,single,210,7,24,2,1,personal auto,personal l3,offer2,agent,1008,luxury suv,small
arizona,22185,no,basic,master,2/27/11,employed,f,60426,rural,single,62,1,97,0,2,corporate auto,corporate l2,offer1,call center,133,two-door car,medsize
nevada,30442,no,premium,high school or below,1/23/11,employed,f,64321,rural,divorced,253,31,75,1,2,personal auto,personal l3,offer1,agent,422,luxury suv,medsize
arizona,4117,no,basic,bachelor,1/8/11,employed,f,86101,urban,married,102,4,73,0,1,personal auto,personal l1,offer1,agent,344,suv,medsize
california,4636,yes,basic,college,1/1/11,retired,m,26802,suburban,married,66,7,43,1,5,corporate auto,corporate l1,offer2,agent,316,two-door car,medsize
california,2790,no,basic,college,2/10/11,employed,f,53882,suburban,married,69,14,33,0,1,personal auto,personal l3,offer1,agent,331,four-door car,medsize
california,5244,no,basic,college,2/9/11,employed,f,27444,urban,married,66,21,88,0,3,personal auto,personal l3,offer3,web,313,four-door car,large
california,2751,no,basic,high school or below,2/20/11,employed,m,86788,suburban,single,70,32,68,0,1,personal auto,personal l3,offer2,agent,336,four-door car,medsize
